original_cost,expenditure,physical_progress,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,sector,ministry,agency,cost_overrun_flag
3860,4828.89,72,5229.0,171.78055190538765,1.2510077720207256,0.4191394148020654,Electricity Generation,Ministry of Power,THDC India Limited,1
281,227.54,50,2755.5,90.52233902759525,0.8097508896797153,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
854,712.3,99,2755.5,90.52233902759525,0.8340749414519906,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
240,31.23,50,2755.5,90.52233902759525,0.130125,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
156,49.78,39,2755.5,90.52233902759525,0.3191025641025641,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,1
827,619.5,85,2755.5,90.52233902759525,0.749093107617896,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],1
656,465.73,84,2755.5,90.52233902759525,0.7099542682926829,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],0
980,236.22,50,2755.5,90.52233902759525,0.2410408163265306,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
829,297.77,62,2755.5,90.52233902759525,0.3591917973462002,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
678,675.25,67,2755.5,90.52233902759525,0.99594395280236,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,"Department of Water Resources, River Development & GR",1
9028,7071.08,84,2755.5,90.52233902759525,0.7832388125830748,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
10228,9701.95,86,2755.5,90.52233902759525,0.9485676574110288,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
461,111.57,51,2755.5,90.52233902759525,0.2420173535791757,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],1
43129,59524.4,87,2755.5,90.52233902759525,1.380147928308099,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,1
677,518.22,77,2755.5,90.52233902759525,0.7654652880354506,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],0
384,110.44,48,2755.5,90.52233902759525,0.2876041666666666,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],1
2658,2192.68,94,2755.5,90.52233902759525,0.824936042136945,0.6743353097526068,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
1028,792.24,83,1383.0,45.43363994743758,0.7706614785992218,1.826840202458424,Healthcare,Ministry of Health & Family Welfare,Ministry of Health & Family Welfare,1
1828,1504.91,65,2213.0,72.70039421813404,0.8232549234135668,0.8940804338002711,Healthcare,Ministry of Health & Family Welfare,Central Public Works Department [CPWD],0
693,58.0,0,2513.0,82.55584756898817,0.0836940836940837,0.0,Healthcare,"Ministry of Ports, Shipping and Waterways",Mumbai Port Trust [MPT],0
5369,3432.34,70,2188.0,71.87910643889619,0.6392885081020675,0.973857404021938,Inland Waterways,"Ministry of Ports, Shipping and Waterways",Inland Waterways Authority of India [IWAI],0
1173,1971.0,80,4646.0,152.6281208935611,1.680306905370844,0.5241498062849764,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,1
2344,196.75,8,5642.0,185.34822601839684,0.0839377133105802,0.0431619992910315,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,0
